"key","en","es","fr","status"
"justiceService.infoLine1","Generate a local advocacy snapshot using only on-device cached data (notes and counts).","Generate a local advocacy snapshot using only on-device cached data (notes and counts).","Generate a local advocacy snapshot using only on-device cached data (notes and counts).","untranslated"
"justiceService.infoLine2","Use Generate to build a snapshot, Copy to reuse, Share to export a file, and Reset to clear it.","Use Generate to build a snapshot, Copy to reuse, Share to export a file, and Reset to clear it.","Use Generate to build a snapshot, Copy to reuse, Share to export a file, and Reset to clear it.","untranslated"
"justiceService.infoLine3","Data stays local; no network calls are made.","Data stays local; no network calls are made.","Data stays local; no network calls are made.","untranslated"
"justiceService.title","Justice-as-a-Service","Justice-as-a-Service","Justice-as-a-Service","untranslated"
"justiceService.snapshotRegion","Generated snapshot","Generated snapshot","Generated snapshot","untranslated"
"justiceService.generateBtnLabel","Generate snapshot","Generate snapshot","Generate snapshot","untranslated"
"justiceService.hide","[T] justiceService.hide","[T] justiceService.hide","[T] justiceService.hide","tagged"
"justiceService.show","[T] justiceService.show","[T] justiceService.show","[T] justiceService.show","tagged"
"justiceService.generateHint","[T] justiceService.generateHint","[T] justiceService.generateHint","[T] justiceService.generateHint","tagged"
"justiceService.copyLabel","[T] justiceService.copyLabel","[T] justiceService.copyLabel","[T] justiceService.copyLabel","tagged"
"justiceService.shareLabel","[T] justiceService.shareLabel","[T] justiceService.shareLabel","[T] justiceService.shareLabel","tagged"
"justiceService.resetLabel","[T] justiceService.resetLabel","[T] justiceService.resetLabel","[T] justiceService.resetLabel","tagged"
"rightsChecker.title","Automated Rights Checker","Automated Rights Checker","Automated Rights Checker","untranslated"
"rightsChecker.screenLabel","Automated Rights Checker screen","Automated Rights Checker screen","Automated Rights Checker screen","untranslated"
"rightsChecker.subtitle","Answer a few questions to get a plain-language overview of your rights and options.","Answer a few questions to get a plain-language overview of your rights and options.","Answer a few questions to get a plain-language overview of your rights and options.","untranslated"
"rightsChecker.q1","Are you currently employed?","Are you currently employed?","Are you currently employed?","untranslated"
"rightsChecker.q2","Are you a union member?","Are you a union member?","Are you a union member?","untranslated"
"rightsChecker.q3","Do you have a disability or health condition requiring accommodations?","Do you have a disability or health condition requiring accommodations?","Do you have a disability or health condition requiring accommodations?","untranslated"
"rightsChecker.q4","Have you been denied benefits (e.g., workers' compensation, LTD)?","Have you been denied benefits (e.g., workers' compensation, LTD)?","Have you been denied benefits (e.g., workers' compensation, LTD)?","untranslated"
"rightsChecker.q5","Are you experiencing harassment or discrimination?","Are you experiencing harassment or discrimination?","Are you experiencing harassment or discrimination?","untranslated"
"rightsChecker.protected","You are protected under human rights law, including the duty to accommodate.","You are protected under human rights law, including the duty to accommodate.","You are protected under human rights law, including the duty to accommodate.","untranslated"
"rightsChecker.workplaceRights","You have workplace rights: safety, accommodation, and protection from discrimination.","You have workplace rights: safety, accommodation, and protection from discrimination.","You have workplace rights: safety, accommodation, and protection from discrimination.","untranslated"
"rightsChecker.union","Contact your union for representation.","Contact your union for representation.","Contact your union for representation.","untranslated"
"rightsChecker.noUnion","If no union, consider contacting a legal clinic or advocacy group.","If no union, consider contacting a legal clinic or advocacy group.","If no union, consider contacting a legal clinic or advocacy group.","untranslated"
"rightsChecker.appeal","You may be eligible to appeal denied benefits. Gather medical evidence and file within deadlines.","You may be eligible to appeal denied benefits. Gather medical evidence and file within deadlines.","You may be eligible to appeal denied benefits. Gather medical evidence and file within deadlines.","untranslated"
"rightsChecker.templates","Use our letter templates in Resources to request reconsideration or appeal.","Use our letter templates in Resources to request reconsideration or appeal.","Use our letter templates in Resources to request reconsideration or appeal.","untranslated"
"rightsChecker.harassment","Harassment is prohibited. Document incidents and report via proper channels.","Harassment is prohibited. Document incidents and report via proper channels.","Harassment is prohibited. Document incidents and report via proper channels.","untranslated"
"rightsChecker.general","Based on your answers, you still maintain general human rights. Consider browsing Resources for guidance.","Based on your answers, you still maintain general human rights. Consider browsing Resources for guidance.","Based on your answers, you still maintain general human rights. Consider browsing Resources for guidance.","untranslated"
"rightsChecker.summaryReady","Rights summary ready","Rights summary ready","Rights summary ready","untranslated"
"rightsChecker.reset","Reset","Reset","Reset","untranslated"
"rightsChecker.resetAnswers","Reset answers","Reset answers","Reset answers","untranslated"
"rightsChecker.resetHint","Clears all selected answers.","Clears all selected answers.","Clears all selected answers.","untranslated"
"rightsChecker.copy","Copy","Copy","Copy","untranslated"
"rightsChecker.copySummary","Copy rights summary","Copy rights summary","Copy rights summary","untranslated"
"rightsChecker.copySummaryHint","Copies the current rights summary to the clipboard.","Copies the current rights summary to the clipboard.","Copies the current rights summary to the clipboard.","untranslated"
"rightsChecker.export","Export","Export","Export","untranslated"
"rightsChecker.exportSummary","Share or export summary file","Share or export summary file","Share or export summary file","untranslated"
"rightsChecker.exportSummaryHint","Opens system share sheet with a text file of your rights summary.","Opens system share sheet with a text file of your rights summary.","Opens system share sheet with a text file of your rights summary.","untranslated"
"rightsChecker.copied","Copied","Copied","Copied","untranslated"
"rightsChecker.copiedBody","Summary copied to clipboard.","Summary copied to clipboard.","Summary copied to clipboard.","untranslated"
"rightsChecker.clipboardMissingTitle","Clipboard not available","Clipboard not available","Clipboard not available","untranslated"
"rightsChecker.clipboardMissingMsg","Install expo-clipboard in a dev build to enable copy.","Install expo-clipboard in a dev build to enable copy.","Install expo-clipboard in a dev build to enable copy.","untranslated"
"rightsChecker.shareUnavailable","Share unavailable","Share unavailable","Share unavailable","untranslated"
"rightsChecker.shareUnavailableBody","System share sheet not available.","System share sheet not available.","System share sheet not available.","untranslated"
"rightsChecker.shareError","Share failed","Share failed","Share failed","untranslated"
"rightsChecker.shareErrorBody","Could not share summary file.","Could not share summary file.","Could not share summary file.","untranslated"
"rightsChecker.howToUse","How to use Rights Checker","How to use Rights Checker","How to use Rights Checker","untranslated"
"rightsChecker.toggleInfo","Toggle instructions","Toggle instructions","Toggle instructions","untranslated"
"rightsChecker.infoTitle","How to Use","How to Use","How to Use","untranslated"
"rightsChecker.infoLine1","Answer each question. A plain-language summary appears when all are answered.","Answer each question. A plain-language summary appears when all are answered.","Answer each question. A plain-language summary appears when all are answered.","untranslated"
"rightsChecker.infoLine2","Use Copy to reuse the summary, Export to generate a text file, and Reset to clear answers.","Use Copy to reuse the summary, Export to generate a text file, and Reset to clear answers.","Use Copy to reuse the summary, Export to generate a text file, and Reset to clear answers.","untranslated"
"rightsChecker.infoLine3","This tool does not give legal advice; consult official sources.","This tool does not give legal advice; consult official sources.","This tool does not give legal advice; consult official sources.","untranslated"
"rightsChecker.choiceLabel","{{label}} answer option","{{label}} answer option","{{label}} answer option","untranslated"
"rightsChecker.yourSummary","Your summary","Your summary","Your summary","untranslated"
"rightsChecker.summaryRegion","Rights summary","Rights summary","Rights summary","untranslated"
"rightsChecker.resetAnnounce","[T] rightsChecker.resetAnnounce","[T] rightsChecker.resetAnnounce","[T] rightsChecker.resetAnnounce","tagged"
"rightsChecker.hide","[T] rightsChecker.hide","[T] rightsChecker.hide","[T] rightsChecker.hide","tagged"
"rightsChecker.show","[T] rightsChecker.show","[T] rightsChecker.show","[T] rightsChecker.show","tagged"
"rightsExplainer.screenLabel","Rights Explainer screen","Rights Explainer screen","Rights Explainer screen","untranslated"
"rightsExplainer.howToUse","How to use Rights Explainer","How to use Rights Explainer","How to use Rights Explainer","untranslated"
"rightsExplainer.toggleInfo","Toggle instructions","Toggle instructions","Toggle instructions","untranslated"
"rightsExplainer.infoTitle","How to Use","How to Use","How to Use","untranslated"
"rightsExplainer.infoLine1","Select a language and region to view simplified rights statements.","Select a language and region to view simplified rights statements.","Select a language and region to view simplified rights statements.","untranslated"
"rightsExplainer.infoLine2","Use Copy or Share to reuse the current list; Reset returns to English / Canada default.","Use Copy or Share to reuse the current list; Reset returns to English / Canada default.","Use Copy or Share to reuse the current list; Reset returns to English / Canada default.","untranslated"
"rightsExplainer.infoLine3","This is an educational tool, not legal advice. Reference official sources for decisions.","This is an educational tool, not legal advice. Reference official sources for decisions.","This is an educational tool, not legal advice. Reference official sources for decisions.","untranslated"
"rightsExplainer.heading","Multi‑Language Rights Explainer","Multi‑Language Rights Explainer","Multi‑Language Rights Explainer","untranslated"
"rightsExplainer.subhead","Plain‑language summaries of basic rights. Select language and region.","Plain‑language summaries of basic rights. Select language and region.","Plain‑language summaries of basic rights. Select language and region.","untranslated"
"rightsExplainer.provincial","Provincial Rights","Provincial Rights","Provincial Rights","untranslated"
"rightsExplainer.federal","Canada – Federal Rights","Canada – Federal Rights","Canada – Federal Rights","untranslated"
"rightsExplainer.international","Global – International Rights","Global – International Rights","Global – International Rights","untranslated"
"rightsExplainer.langChanged","Language changed","Language changed","Language changed","untranslated"
"rightsExplainer.regionChanged","Region changed","Region changed","Region changed","untranslated"
"rightsExplainer.provinceChanged","Province changed","Province changed","Province changed","untranslated"
"rightsExplainer.copy","Copy","Copy","Copy","untranslated"
"rightsExplainer.copyLabel","Copy rights explainer","Copy rights explainer","Copy rights explainer","untranslated"
"rightsExplainer.copyHint","Copies the current rights statements.","Copies the current rights statements.","Copies the current rights statements.","untranslated"
"rightsExplainer.share","Share","Share","Share","untranslated"
"rightsExplainer.shareLabel","Share rights explainer file","Share rights explainer file","Share rights explainer file","untranslated"
"rightsExplainer.shareHint","Opens system share sheet with a text file of current statements.","Opens system share sheet with a text file of current statements.","Opens system share sheet with a text file of current statements.","untranslated"
"rightsExplainer.reset","Reset","Reset","Reset","untranslated"
"rightsExplainer.resetLabel","Reset explainer","Reset explainer","Reset explainer","untranslated"
"rightsExplainer.resetHint","Restores default language and region.","Restores default language and region.","Restores default language and region.","untranslated"
"rightsExplainer.resetAnnounce","Explainer reset to defaults","Explainer reset to defaults","Explainer reset to defaults","untranslated"
"rightsExplainer.copied","Copied","Copied","Copied","untranslated"
"rightsExplainer.copiedBody","Current rights explainer copied.","Current rights explainer copied.","Current rights explainer copied.","untranslated"
"rightsExplainer.clipboardMissingTitle","Clipboard not available","Clipboard not available","Clipboard not available","untranslated"
"rightsExplainer.clipboardMissingMsg","Install expo-clipboard in a dev build to enable copy.","Install expo-clipboard in a dev build to enable copy.","Install expo-clipboard in a dev build to enable copy.","untranslated"
"rightsExplainer.shareUnavailable","Share unavailable","Share unavailable","Share unavailable","untranslated"
"rightsExplainer.shareUnavailableBody","System share sheet not available.","System share sheet not available.","System share sheet not available.","untranslated"
"rightsExplainer.shareError","Share failed","Share failed","Share failed","untranslated"
"rightsExplainer.shareErrorBody","Could not share rights explainer file.","Could not share rights explainer file.","Could not share rights explainer file.","untranslated"
"rightsExplainer.provinceChip","Province {{code}}","Province {{code}}","Province {{code}}","untranslated"
"rightsExplainer.langChip","Language {{code}}","Language {{code}}","Language {{code}}","untranslated"
"rightsExplainer.regionChip","Region {{code}}","Region {{code}}","Region {{code}}","untranslated"
"rightsExplainer.hide","[T] rightsExplainer.hide","[T] rightsExplainer.hide","[T] rightsExplainer.hide","tagged"
"rightsExplainer.show","[T] rightsExplainer.show","[T] rightsExplainer.show","[T] rightsExplainer.show","tagged"
"templates.evidenceLocker.title","Evidence Locker","Casillero de Evidencias","Coffre de preuves","ok"
"templates.evidenceLocker.screenLabel","Evidence Locker screen","Pantalla de casillero de evidencias","Écran coffre de preuves","ok"
"templates.evidenceLocker.howToUse","How to use Evidence Locker","Cómo usar el casillero","Utilisation du coffre","ok"
"templates.evidenceLocker.toggleInfo","Toggle instructions","Mostrar/ocultar instrucciones","Afficher/masquer les instructions","ok"
"templates.evidenceLocker.infoTitle","How to Use","Cómo usar","Mode d'emploi","ok"
"templates.evidenceLocker.infoLine1","Securely store notes and files related to your case. Everything stays on your device unless you export.","Guarde notas y archivos del caso. Todo permanece local hasta exportar.","Stockez notes et fichiers liés au dossier (local jusqu'à export).","ok"
"templates.evidenceLocker.infoLine2","Add notes or attach files. Use Export to create a bundle, Copy to reuse text notes, Share to send a summary.","Agregue notas o archivos. Use Exportar para crear un paquete, Copiar para reutilizar notas, Compartir para enviar un resumen.","Ajoutez notes ou fichiers. Export pour un lot, Copier pour réutiliser, Partager pour un résumé.","ok"
"templates.evidenceLocker.infoLine3","Keep items organized; concise notes help when generating timelines or appeals.","Mantenga orden; notas concisas ayudan en cronologías o apelaciones.","Gardez concis pour aider chronologies / appels.","ok"
"templates.evidenceLocker.notes","Notes","Notas","Notes","untranslated"
"templates.evidenceLocker.files","Files","Archivos","Fichiers","ok"
"templates.evidenceLocker.emptyNotes","No notes yet","Sin notas todavía","Aucune note","ok"
"templates.evidenceLocker.emptyFiles","No files added","Sin archivos añadidos","Aucun fichier","ok"
"templates.evidenceLocker.addNote","Add Note","Agregar nota","Ajouter note","ok"
"templates.evidenceLocker.addFile","Add File","Agregar archivo","Ajouter fichier","ok"
"templates.evidenceLocker.export","Export","Exportar","Exporter","ok"
"templates.evidenceLocker.exportLabel","Export evidence bundle","Exportar paquete","Exporter lot","ok"
"templates.evidenceLocker.exportHint","Creates a local JSON/text bundle you can share.","Crea un paquete JSON/texto para compartir.","Crée un lot JSON/texte partageable.","ok"
"templates.evidenceLocker.copy","Copy","Copiar","Copier","ok"
"templates.evidenceLocker.copyLabel","Copy notes","Copiar notas","Copier notes","ok"
"templates.evidenceLocker.copyHint","Copies all plain-text notes to the clipboard.","Copia todas las notas de texto al portapapeles.","Copie toutes les notes texte.","ok"
"templates.evidenceLocker.share","Share","Compartir","Partager","ok"
"templates.evidenceLocker.shareLabel","Share evidence summary","Compartir resumen","Partager résumé","ok"
"templates.evidenceLocker.shareHint","Opens share sheet with summary file.","Abre hoja de compartir con archivo de resumen.","Ouvre le partage système avec fichier résumé.","ok"
"templates.evidenceLocker.reset","Reset","Restablecer","Réinitialiser","ok"
"templates.evidenceLocker.resetLabel","Reset locker","Vaciar casillero","Vider coffre","ok"
"templates.evidenceLocker.resetHint","Clears all notes from view (files unaffected unless included).","Borra todas las notas (archivos no incluidos salvo exportación).","Efface toutes les notes (fichiers exclus sauf export).","ok"
"templates.evidenceLocker.resetConfirm","Clear all locker notes? This cannot be undone.","¿Borrar todas las notas? No se puede deshacer.","Effacer toutes les notes ? Action irréversible.","ok"
"templates.evidenceLocker.resetAnnounce","Evidence locker cleared","Casillero limpiado","Coffre vidé","ok"
"templates.evidenceLocker.copied","Copied","Copiado","Copié","ok"
"templates.evidenceLocker.copiedBody","Notes copied to clipboard.","Notas copiadas.","Notes copiées.","ok"
"templates.evidenceLocker.clipboardMissingTitle","Clipboard not available","Portapapeles no disponible","Presse-papiers indisponible","ok"
"templates.evidenceLocker.clipboardMissingMsg","Install expo-clipboard in a dev build to enable copy.","Instale expo-clipboard para habilitar copiar.","Installez expo-clipboard pour copier.","ok"
"templates.evidenceLocker.shareUnavailable","Share unavailable","Compartir no disponible","Partage indisponible","ok"
"templates.evidenceLocker.shareUnavailableBody","System share sheet not available.","Hoja del sistema no disponible.","Feuille système indisponible.","ok"
"templates.evidenceLocker.shareError","Share failed","Error al compartir","Partage échoué","ok"
"templates.evidenceLocker.shareErrorBody","Could not share evidence file.","No se pudo compartir archivo.","Impossible de partager fichier.","ok"
"templates.evidenceLocker.exportError","Export failed","Error al exportar","Export échoué","ok"
"templates.evidenceLocker.exportErrorBody","Could not build evidence export.","No se pudo crear exportación.","Impossible de créer export.","ok"
"templates.evidenceLocker.exportReady","Export ready","Export listo","Export prêt","ok"
"templates.evidenceLocker.summaryRegion","Evidence summary region","Región resumen evidencias","Région résumé preuves","ok"
"templates.evidenceLocker.queueTitle","[T] templates.evidenceLocker.queueTitle","[T] templates.evidenceLocker.queueTitle","[T] templates.evidenceLocker.queueTitle","tagged"
"templates.evidenceLocker.queueScreenLabel","[T] templates.evidenceLocker.queueScreenLabel","[T] templates.evidenceLocker.queueScreenLabel","[T] templates.evidenceLocker.queueScreenLabel","tagged"
"templates.evidenceLocker.processing","[T] templates.evidenceLocker.processing","[T] templates.evidenceLocker.processing","[T] templates.evidenceLocker.processing","tagged"
"templates.evidenceLocker.queueSubtitle","[T] templates.evidenceLocker.queueSubtitle","[T] templates.evidenceLocker.queueSubtitle","[T] templates.evidenceLocker.queueSubtitle","tagged"
"templates.evidenceLocker.emptyQueue","[T] templates.evidenceLocker.emptyQueue","[T] templates.evidenceLocker.emptyQueue","[T] templates.evidenceLocker.emptyQueue","tagged"
"templates.gallery.title","Template Gallery","Galería de plantillas","Galerie de modèles","ok"
"templates.gallery.screenLabel","Templates gallery screen","Pantalla de galería de plantillas","Écran galerie modèles","ok"
"templates.gallery.subtitle","Example outputs to help you get started.","Ejemplos para iniciar.","Exemples pour démarrer.","ok"
"templates.gallery.toggleInfo","Toggle instructions","Mostrar/ocultar instrucciones","Afficher/masquer instructions","ok"
"templates.gallery.howToUse","How to use templates gallery","Cómo usar la galería","Utilisation de la galerie","ok"
"templates.gallery.infoTitle","How to Use","Cómo usar","Mode d'emploi","ok"
"templates.gallery.infoLine1","Fill in your details (name, claim, etc.) to auto‑populate placeholders.","Rellene sus datos para actualizar marcadores.","Renseignez vos données pour mettre à jour les marqueurs.","ok"
"templates.gallery.infoLine2","Copy, save as draft, export, or insert into your Evidence Locker.","Copiar, guardar borrador, exportar o insertar en Casillero.","Copier, enregistrer brouillon, exporter ou insérer dans Coffre.","ok"
"templates.gallery.infoLine3","Adapt wording to your situation; this is not legal advice.","Adapte el texto; no es asesoría legal.","Adapter le texte; pas un avis juridique.","ok"
"templates.gallery.exportAll","Export All","Exportar todo","Tout exporter","ok"
"templates.gallery.exportAllLabel","Export all templates","Exportar todas las plantillas","Exporter tous modèles","ok"
"templates.gallery.exportAllHint","Creates a text file with all templates.","Crea archivo de texto con todas.","Crée un fichier texte.","ok"
"templates.gallery.shareUnavailable","Share unavailable","Compartir no disponible","Partage indisponible","ok"
"templates.gallery.shareUnavailableBody","System share sheet not available.","Hoja del sistema no disponible.","Feuille système indisponible.","ok"
"templates.gallery.shareError","Share failed","Error al compartir","Partage échoué","ok"
"templates.gallery.shareErrorBody","Could not share templates file.","No se pudo compartir archivo.","Impossible de partager fichier.","ok"
"templates.gallery.copyExample","Copy example","Copiar ejemplo","Copier exemple","ok"
"templates.gallery.saveDraft","Save draft","Guardar borrador","Enregistrer brouillon","ok"
"templates.gallery.saveDraftLabel","Save draft locally","Guardar localmente","Sauvegarder localement","ok"
"templates.gallery.shareLabel","Share template","Compartir plantilla","Partager modèle","ok"
"templates.gallery.share","Share","Compartir","Partager","ok"
"templates.gallery.insert","Insert into Evidence Locker","Insertar en Casillero","Insérer dans coffre","ok"
"templates.gallery.insertLabel","Insert template into Evidence Locker","Insertar en Casillero","Insérer dans coffre","ok"
"templates.gallery.inserted","Added","Agregado","Ajouté","ok"
"templates.gallery.insertedBody","Inserted into Evidence Locker.","Insertado en Casillero.","Ajouté au coffre de preuves.","ok"
"templates.gallery.insertFailed","Not added","No agregado","Non ajouté","ok"
"templates.gallery.insertFailedBody","Unable to add to Evidence Locker.","No se pudo insertar.","Impossible d'ajouter.","ok"
"templates.gallery.drafts","Drafts","Borradores","Brouillons","ok"
"templates.gallery.delete","Delete","Eliminar","Supprimer","ok"
"templates.gallery.deleteDraft","Delete draft","Eliminar borrador","Supprimer brouillon","ok"
"templates.gallery.shareDraft","Share draft","Compartir borrador","Partager brouillon","ok"
"templates.gallery.toLocker","Add draft to Evidence Locker","Al Casillero","Au coffre","ok"
"templates.gallery.toLockerShort","To Locker","Casillero","Coffre","ok"
"templates.gallery.varName","Your name","Su nombre","Votre nom","ok"
"templates.gallery.varContact","Contact","Contacto","Contact","untranslated"
"templates.gallery.varProvince","Province (e.g., ON)","Provincia (p.ej. ON)","Province (ex. ON)","ok"
"templates.gallery.varClaim","Claim ID","ID de reclamación","ID dossier","ok"
"templates.gallery.varDate","date (YYYY-MM-DD)","fecha (AAAA-MM-DD)","date (AAAA-MM-JJ)","ok"
"templates.letters.common.toggleInfo","Toggle instructions","Mostrar/ocultar instrucciones","Afficher/masquer instructions","ok"
"templates.letters.common.infoTitle","How to Use","Cómo usar","Mode d'emploi","ok"
"templates.letters.common.infoLine1","Fill in the fields below; placeholders will update live.","Complete campos; los marcadores se actualizan.","Remplissez les champs; les marqueurs se mettent à jour.","ok"
"templates.letters.common.infoLine2","You can copy, share, export, or insert into your Evidence Locker.","Puede copiar, compartir, exportar o insertar al Casillero.","Copier, partager, exporter ou insérer dans Coffre.","ok"
"templates.letters.common.infoLine3","Adapt wording to your facts; this is not legal advice.","Adapte a su caso; no es asesoría legal.","Adapter au dossier; pas un avis juridique.","ok"
"templates.letters.common.share","Share","Compartir","Partager","ok"
"templates.letters.common.copy","Copy","Copiar","Copier","ok"
"templates.letters.common.insertTrackers","Insert from trackers","Insertar de seguimientos","Insérer depuis suivis","ok"
"templates.letters.common.exportPdf","Export as PDF","Exportar PDF","Exporter PDF","ok"
"templates.letters.common.exportDoc","Export as .doc","Exportar .doc","Exporter .doc","ok"
"templates.letters.common.insertLocker","Insert into Evidence Locker","Insertar en Casillero","Insérer dans coffre","ok"
"templates.letters.common.inserted","Added","Agregado","Ajouté","ok"
"templates.letters.common.insertedBody","Inserted into Evidence Locker.","Insertado en Casillero.","Ajouté au coffre.","ok"
"templates.letters.common.insertFailed","Not added","No agregado","Non ajouté","ok"
"templates.letters.common.insertFailedBody","Unable to add to Evidence Locker.","No se pudo agregar.","Impossible d'ajouter.","ok"
"templates.letters.common.copied","Copied","Copiado","Copié","ok"
"templates.letters.common.copiedBody","Letter copied to clipboard.","Carta copiada.","Lettre copiée.","ok"
"templates.letters.common.clipboardNA","Clipboard not available","Portapapeles no disponible","Presse-papiers indisponible","ok"
"templates.letters.common.clipboardNABody","Install expo-clipboard in a dev build to enable copy.","Instale expo-clipboard para copiar.","Installez expo-clipboard pour copier.","ok"
"templates.letters.common.pdfNA","PDF not available","PDF no disponible","PDF indisponible","ok"
"templates.letters.common.pdfNABody","Install expo-print in a dev build to export PDFs.","Instale expo-print para exportar PDF.","Installez expo-print pour PDF.","ok"
"templates.letters.common.exportFailed","Export failed","Exportación fallida","Export échoué","ok"
"templates.letters.common.exportFailedBody","Could not create file.","No se pudo crear archivo.","Impossible de créer fichier.","ok"
"templates.letters.common.shareUnavailable","Share unavailable","Compartir no disponible","Partage indisponible","ok"
"templates.letters.common.shareUnavailableBody","System share sheet not available.","Hoja del sistema no disponible.","Feuille système indisponible.","ok"
"templates.letters.common.shareError","Share failed","Error al compartir","Partage échoué","ok"
"templates.letters.common.shareErrorBody","Unable to share file.","No se pudo compartir archivo.","Impossible de partager fichier.","ok"
"templates.letters.accommodation.title","Accommodation Request","Solicitud de adaptación","Demande d'aménagement","ok"
"templates.letters.accommodation.screenLabel","Accommodation letter screen","Pantalla carta de adaptación","Écran lettre aménagement","ok"
"templates.letters.accommodation.subtitle","Fill in your details, review the preview, then share or copy.","Complete datos, revise vista previa y comparta.","Remplir, vérifier, puis partager ou copier.","ok"
"templates.letters.accommodation.employer","Employer","Empleador","Employeur","ok"
"templates.letters.accommodation.jobTitle","Job Title","Puesto","Intitulé poste","ok"
"templates.letters.accommodation.date","Date (optional)","Fecha (opcional)","Date (optionnel)","ok"
"templates.letters.accommodation.limitations","Limitations (brief)","Limitaciones (breve)","Limitations (bref)","ok"
"templates.letters.accommodation.accommodations","Requested Accommodations","Adaptaciones solicitadas","Aménagements demandés","ok"
"templates.letters.appeal.title","Appeal Letter","Carta de apelación","Lettre d'appel","ok"
"templates.letters.appeal.screenLabel","Appeal letter screen","Pantalla carta apelación","Écran lettre appel","ok"
"templates.letters.appeal.subtitle","Fill in your details, review the preview, then share or export.","Complete datos y exporte o comparta.","Remplir puis partager ou exporter.","ok"
"templates.letters.appeal.claim","Claim Number","Número de reclamación","Numéro de dossier","ok"
"templates.letters.appeal.decisionDate","Decision Date","Fecha decisión","Date décision","ok"
"templates.letters.appeal.decisionSummary","Decision Summary","Resumen decisión","Résumé décision","ok"
"templates.letters.appeal.arguments","Your Arguments/Evidence","Argumentos / evidencia","Arguments / preuves","ok"
"templates.letters.appeal.contact","Contact (email/phone)","Contacto","Contact","ok"
"templates.letters.reconsideration.title","Reconsideration Letter","Carta de reconsideración","Lettre de réexamen","ok"
"templates.letters.reconsideration.screenLabel","Reconsideration letter screen","Pantalla carta reconsideración","Écran lettre réexamen","ok"
"templates.letters.reconsideration.name","Your name","Su nombre","Votre nom","ok"
"templates.letters.reconsideration.claim","Claim number","Número de reclamación","Numéro dossier","ok"
"templates.letters.reconsideration.points","Key points / evidence","Puntos / evidencia","Points / preuves","ok"
"templates.letters.reconsideration.date","Date","Fecha","Date","untranslated"
"templates.letters.union.title","Union Representation/Request Letter","Carta representación sindical","Lettre représentation syndicale","ok"
"templates.letters.union.screenLabel","Union request letter screen","Pantalla carta sindicato","Écran lettre syndicat","ok"
"templates.letters.union.name","Your Name","Su nombre","Votre nom","ok"
"templates.letters.union.position","Position/Role","Cargo","Poste","ok"
"templates.letters.union.workplace","Workplace/Department","Lugar / depto","Lieu / service","ok"
"templates.letters.union.issue","Issue Summary","Resumen del problema","Résumé problème","ok"
"templates.letters.union.accommodation","Requested Accommodation/Remedy","Adaptación / remedio","Aménagement / mesure","ok"
"templates.letters.union.evidence","Evidence/Docs (optional)","Evidencia (opcional)","Preuves (optionnel)","ok"
"templates.letters.union.contact","Contact (email/phone)","Contacto","Contact","ok"
"templates.letters.union.subtitle","Fill in details, review the preview, then share or export.","Complete y comparta o exporte.","Remplir puis partager ou exporter.","ok"
"templates.letters.rtw.title","Return-to-Work Plan","Plan de regreso","Plan de retour","ok"
"templates.letters.rtw.screenLabel","Return to work plan letter screen","Pantalla plan regreso","Écran plan retour","ok"
"templates.letters.rtw.name","Your name","Su nombre","Votre nom","ok"
"templates.letters.rtw.employer","Employer","Empleador","Employeur","ok"
"templates.letters.rtw.duties","Proposed duties","Tareas propuestas","Tâches proposées","ok"
"templates.letters.rtw.accommodations","Accommodations","Adaptaciones","Aménagements","ok"
"templates.letters.rtw.date","Date","Fecha","Date","untranslated"
"templates.checklist.title","Evidence Checklist","Lista de evidencia","Liste de preuves","ok"
"templates.checklist.screenLabel","Evidence checklist screen","Pantalla lista evidencia","Écran liste preuves","ok"
"templates.checklist.toggleInfo","Toggle instructions","Mostrar/ocultar instrucciones","Afficher/masquer instructions","ok"
"templates.checklist.infoTitle","How to Use","Cómo usar","Mode d'emploi","ok"
"templates.checklist.infoLine1","Select a process type to load its suggested evidence items.","Seleccione un tipo de proceso para cargar elementos sugeridos.","Choisissez un type pour charger les éléments suggérés.","ok"
"templates.checklist.infoLine2","Tap items to mark them complete; progress updates are announced.","Toque elementos para marcarlos; el progreso se anuncia.","Touchez pour marquer fait; le progrès est annoncé.","ok"
"templates.checklist.infoLine3","Use Copy or Export to reuse the summary. Reset clears progress.","Use Copiar o Exportar para reutilizar; Restablecer limpia.","Copier ou Exporter pour réutiliser; Reset efface.","ok"
"templates.checklist.subtitle","Pick a process to view a tailored checklist.","Elija un proceso para ver lista adaptada.","Choisissez un processus pour liste adaptée.","ok"
"templates.checklist.copy","Copy summary","Copiar resumen","Copier résumé","ok"
"templates.checklist.export","Export","Exportar","Exporter","ok"
"templates.checklist.reset","Reset","Restablecer","Reset","untranslated"
"templates.checklist.progressAnnounce","Progress updated","Progreso actualizado","Progrès mis à jour","ok"
"templates.checklist.progressLabel","Checklist progress","Progreso lista","Progrès liste","ok"
"templates.checklist.progress","Progress: {{done}} / {{total}} ({{pct}}%)","Progreso: {{done}} / {{total}} ({{pct}}%)","Progrès : {{done}} / {{total}} ({{pct}}%)","ok"
"templates.checklist.summaryHeader","Evidence Checklist Summary","Resumen lista evidencia","Résumé liste preuves","ok"
"templates.checklist.copied","Copied","Copiado","Copié","ok"
"templates.checklist.copiedBody","Checklist summary copied.","Resumen copiado.","Résumé copié.","ok"
